observationStartMJD,fieldRA,fiveSigmaDepth,airmass,fieldDec,filter,ra,dec,id
60195.36929398148,40.333092,24.54393099133309,1.0691052720223782,-49.754501,g,40.0,-50.0,16
62823.14761574074,40.333092,24.691381207253325,1.061147375245178,-49.754501,g,40.0,-50.0,16
61649.39827546296,40.333092,24.594838036620473,1.0766736241497015,-49.754501,g,40.0,-50.0,16
62444.17697916667,40.333092,23.335690123003552,1.06250305998059,-49.754501,u,40.0,-50.0,16
62353.41818287037,40.333092,24.920930649356787,1.0648855487763589,-49.754501,g,40.0,-50.0,16
60535.42716435185,40.333092,24.40632848673601,1.0633573423717806,-49.754501,g,40.0,-50.0,16
59905.13490740741,40.333092,24.50912540772718,1.0611702698784813,-49.754501,g,40.0,-50.0,16
59876.20517361111,40.333092,23.778113244728413,1.0630138745352422,-49.754501,u,40.0,-50.0,16
61648.365115740744,40.333092,22.969398421334,1.060991162407884,-49.754501,u,40.0,-50.0,16
62469.12724537037,40.333092,24.527873327117135,1.0620161702364352,-49.754501,g,40.0,-50.0,16
60261.15681712963,40.333092,23.34615877908783,1.0618441511815302,-49.754501,u,40.0,-50.0,16
60903.41320601852,40.333092,24.48690522180823,1.0619257639413464,-49.754501,g,40.0,-50.0,16
60565.344189814816,40.333092,24.926681617824837,1.0632747373339206,-49.754501,g,40.0,-50.0,16
63158.22729166667,40.333092,24.715413750810146,1.0614106570013524,-49.754501,g,40.0,-50.0,16
60195.38538194444,40.333092,24.632246616390187,1.0822896415876893,-49.754501,g,40.0,-50.0,16
60642.11989583333,40.333092,23.315993812538796,1.061269555321589,-49.754501,u,40.0,-50.0,16
62384.343819444446,40.333092,23.141299348895185,1.0615627363459146,-49.754501,u,40.0,-50.0,16
60202.32309027778,40.333092,23.34115044151398,1.0609907971652062,-49.754501,u,40.0,-50.0,16
61268.392916666664,40.333092,24.617989801268536,1.0634854640109281,-49.754501,g,40.0,-50.0,16
61630.42738425926,40.333092,24.67408161735526,1.0629234977917073,-49.754501,g,40.0,-50.0,16
62353.43386574074,40.333092,24.47515774608434,1.060967000030556,-49.754501,g,40.0,-50.0,16
62774.268842592595,40.333092,23.0069331617649,1.0637653836404424,-49.754501,u,40.0,-50.0,16
61381.08692129629,40.333092,23.36890202172654,1.0624047528773566,-49.754501,u,40.0,-50.0,16
62037.31420138889,40.333092,24.533767532578977,1.0632283870034844,-49.754501,g,40.0,-50.0,16
60991.18546296296,40.333092,24.314737350681504,1.0661712827373586,-49.754501,g,40.0,-50.0,16
60965.23125,40.333092,23.355871660100984,1.0615808006022291,-49.754501,u,40.0,-50.0,16
60991.17141203704,40.333092,24.34886699395505,1.061703295056251,-49.754501,g,40.0,-50.0,16
62744.40002314815,40.333092,24.60134459736299,1.0763897040966737,-49.754501,g,40.0,-50.0,16
63180.16179398148,40.333092,24.986787982298615,1.0623965555930364,-49.754501,g,40.0,-50.0,16
60965.28475694444,40.333092,24.518792690628892,1.0910121182473889,-49.754501,g,40.0,-50.0,16
62742.345300925925,40.333092,23.209976648909997,1.0692459337393945,-49.754501,u,40.0,-50.0,16
59905.15530092592,40.333092,24.732661728708095,1.0644166568383349,-49.754501,g,40.0,-50.0,16
60973.1965162037,40.333092,24.68247087737182,1.0653187828906037,-49.754501,g,40.0,-50.0,16
62083.16395833333,40.333092,24.96461282031948,1.0626561738048412,-49.754501,g,40.0,-50.0,16
60238.2578125,40.333092,24.847778716600274,1.0730597546851375,-49.754501,g,40.0,-50.0,16
60997.14938657408,40.333092,23.087835893446446,1.0609271975198564,-49.754501,u,40.0,-50.0,16
60973.21597222222,40.333092,24.73938374186255,1.061265386018876,-49.754501,g,40.0,-50.0,16
